id,Composition,FormationEnergy
386,K3AgO2,-1.203464034
387,YAgSn,-0.612646883
388,GaAg2,-0.044972916
389,AgI,-0.236508488
390,Ce3(AgSn)4,-0.073644605
391,TaAgS3,-1.063778614
392,TlAgTe,-0.217909241
393,Be2Ag,0.020156305
394,Ag2S,-0.254670556
395,Ag3Sn,-0.024037335
396,KAg3Te2,-0.150396282
397,TaAg7S6,-0.551500047
398,Ti3Ag,0.122473685
399,AgPb2Br5,-0.77468411
400,Eu3Ag2,-0.240041612
401,EuAg,2.395653335
402,VAgO3,-1.747074675
403,ZrAgMo,0.96113886
404,AgAsRu2,0.514555931
405,AlAgB,0.849245198
406,Ag3SI,-0.217549395
407,Cs2AgBr3,-1.355142191
408,Y6AgTe2,-0.683192978
409,NdMg2Ag,-0.122931184
410,Ca3Ag8,-0.226876869
411,Ag9(BiO3)2,-0.4180825
412,AgIrF7,-1.735029885
413,Ag3AsSe3,-0.109005353
414,EuAg,-0.287448963
415,CeInAg2,-0.256525562
416,CeAgAs2,-0.767461978
417,TaAg7S6,-0.512015508
418,Ag33(PbO3)14,-0.828910616
419,Ag3SI,-0.215403199
420,Ga12Ag2Te19,-0.256847496
421,NbAgO2,-1.562453295
422,CeAgP2,-0.562507427
423,Ag2HgI4,-0.125748138
424,InAgTe2,-0.018726017
425,HoAgSe2,-1.167295151
426,Sm4Ag2Se7,-1.395560915
427,Ag4AuS2,-0.077570473
428,Nd4Ag2Se7,-1.397803257
429,Ag3SI,-0.217149182
430,AgClO2,-0.320110865
431,Ag7(SI)2,-0.081189832
432,InAgS2,-0.55934042
433,Ag3SI,-0.21804121
434,Ce5AgSe8,-1.600374002
435,Gd5AgS8,-2.209820226
436,RbAg4I5,-0.496858314
437,Ag9Te4Br3,-0.122286399
438,YAgSe2,-1.175193102
439,NbAg7S6,-0.490482579
440,RbAg4I5,-0.44360337
441,LuAgS2,-1.622412046
442,Ag9(SI)4,-0.16173426
443,Ag3SI,-0.214917447
444,RbAg4I5,-0.467476023
445,Ag13(PbO3)6,-0.841399891
446,Ta4AgS8,-1.386490513
447,Mg54Ag17,-0.140324795
448,Ag8Ge3O10,-1.068407266
449,Ag2SnO3,-1.215982429
450,AgMo6Br13,-0.647714588
451,Ag7P3S11,-0.51626714
452,AgI,-0.282001245
453,Ag2Te,-0.029924076
454,Ag2Te,0.001633712
455,Tl18Ag59Se39,-0.123304499
456,Ag15Bi7I40,-0.204886955
457,Ag3(Bi2Br3)7,-0.466529361
458,FeAgTe2,0.17375402
